"","zip_code","CountyFIPSCode","count","experience","spec_count","polulation","unemployment_rate","STATE","total_income","averge_income","contract_id","tier_label","mnthly_prm","ann_ddctbl","copay_max","coin_max","Summary_Score","Star_Rating_Current"
"36727",78006,48029,973,22.2763993075591,59,19247,3.24,"TX",1803836,93.7203720060269,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36728",78006,48029,973,22.2763993075591,59,19247,3.24,"TX",1803836,93.7203720060269,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36729",78006,48091,185,19.5471698113208,30,19247,3.24,"TX",1803836,93.7203720060269,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36730",78006,48091,185,19.5471698113208,30,19247,3.24,"TX",1803836,93.7203720060269,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36731",78006,48091,185,19.5471698113208,30,19247,3.24,"TX",1803836,93.7203720060269,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36732",78006,48259,83,22.0431654676259,24,19247,3.24,"TX",1803836,93.7203720060269,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36733",78006,48259,83,22.0431654676259,24,19247,3.24,"TX",1803836,93.7203720060269,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36734",78006,48259,83,22.0431654676259,24,19247,3.24,"TX",1803836,93.7203720060269,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36736",78009,48325,34,19.4918032786885,13,6646,2.46,"TX",218835,32.9273247065904,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36737",78009,48325,34,19.4918032786885,13,6646,2.46,"TX",218835,32.9273247065904,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36738",78009,48325,34,19.4918032786885,13,6646,2.46,"TX",218835,32.9273247065904,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36739",78009,48029,973,22.2763993075591,59,6646,2.46,"TX",218835,32.9273247065904,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36740",78009,48029,973,22.2763993075591,59,6646,2.46,"TX",218835,32.9273247065904,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36741",78009,48029,973,22.2763993075591,59,6646,2.46,"TX",218835,32.9273247065904,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36748",78015,48029,973,22.2763993075591,59,5654,1.73,"TX",872241,154.269720551822,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36749",78015,48029,973,22.2763993075591,59,5654,1.73,"TX",872241,154.269720551822,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36750",78015,48029,973,22.2763993075591,59,5654,1.73,"TX",872241,154.269720551822,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36751",78015,48259,83,22.0431654676259,24,5654,1.73,"TX",872241,154.269720551822,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36752",78015,48259,83,22.0431654676259,24,5654,1.73,"TX",872241,154.269720551822,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36753",78015,48259,83,22.0431654676259,24,5654,1.73,"TX",872241,154.269720551822,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36754",78015,48091,185,19.5471698113208,30,5654,1.73,"TX",872241,154.269720551822,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36755",78015,48091,185,19.5471698113208,30,5654,1.73,"TX",872241,154.269720551822,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36756",78015,48091,185,19.5471698113208,30,5654,1.73,"TX",872241,154.269720551822,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36757",78016,48325,34,19.4918032786885,13,9201,4.6,"TX",216656,23.5470057602435,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36760",78023,48029,973,22.2763993075591,59,7725,2.51,"TX",1191463,154.234692556634,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36761",78023,48029,973,22.2763993075591,59,7725,2.51,"TX",1191463,154.234692556634,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36762",78023,48029,973,22.2763993075591,59,7725,2.51,"TX",1191463,154.234692556634,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36763",78023,48325,34,19.4918032786885,13,7725,2.51,"TX",1191463,154.234692556634,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36764",78023,48325,34,19.4918032786885,13,7725,2.51,"TX",1191463,154.234692556634,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36765",78023,48325,34,19.4918032786885,13,7725,2.51,"TX",1191463,154.234692556634,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36766",78023,48019,19,20.4864864864865,8,7725,2.51,"TX",1191463,154.234692556634,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36767",78023,48019,19,20.4864864864865,8,7725,2.51,"TX",1191463,154.234692556634,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36768",78023,48019,19,20.4864864864865,8,7725,2.51,"TX",1191463,154.234692556634,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36776",78039,48325,34,19.4918032786885,13,1649,4.14,"TX",37773,22.9066100667071,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36777",78039,48325,34,19.4918032786885,13,1649,4.14,"TX",37773,22.9066100667071,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36778",78039,48325,34,19.4918032786885,13,1649,4.14,"TX",37773,22.9066100667071,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36779",78039,48029,973,22.2763993075591,59,1649,4.14,"TX",37773,22.9066100667071,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36780",78039,48029,973,22.2763993075591,59,1649,4.14,"TX",37773,22.9066100667071,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36781",78039,48029,973,22.2763993075591,59,1649,4.14,"TX",37773,22.9066100667071,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36787",78052,48029,973,22.2763993075591,59,5033,6.16,"TX",147661,29.3385654679118,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36788",78052,48029,973,22.2763993075591,59,5033,6.16,"TX",147661,29.3385654679118,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36789",78052,48029,973,22.2763993075591,59,5033,6.16,"TX",147661,29.3385654679118,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36790",78052,48325,34,19.4918032786885,13,5033,6.16,"TX",147661,29.3385654679118,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36791",78052,48325,34,19.4918032786885,13,5033,6.16,"TX",147661,29.3385654679118,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36792",78052,48325,34,19.4918032786885,13,5033,6.16,"TX",147661,29.3385654679118,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36793",78052,48013,33,16.2884615384615,13,5033,6.16,"TX",147661,29.3385654679118,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36794",78052,48013,33,16.2884615384615,13,5033,6.16,"TX",147661,29.3385654679118,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36795",78052,48013,33,16.2884615384615,13,5033,6.16,"TX",147661,29.3385654679118,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36799",78056,48325,34,19.4918032786885,13,852,0,"TX",73668,86.4647887323944,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36800",78057,48325,34,19.4918032786885,13,769,4.5,"TX",22796,29.6436931079324,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36801",78057,48163,13,18.3125,4,769,4.5,"TX",22796,29.6436931079324,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36804",78059,48325,34,19.4918032786885,13,4934,8.61,"TX",95968,19.450344548034,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36810",78066,48325,34,19.4918032786885,13,432,0,"TX",26098,60.412037037037,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36811",78069,48029,973,22.2763993075591,59,4767,7.19,"TX",81771,17.1535556954059,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
