"","ZIPCODE","total_income"
"918",86445,4404
"919",86514,24735
"920",99999,6693294
"921",0,62885054
"922",71601,163248
"923",71602,325172
"924",71603,572798
"925",71631,8758
"926",71635,221720
"927",71638,42935
"928",71639,99144
"929",71640,38099
"930",71642,8664
"931",71643,18131
"932",71644,16522
"933",71646,115727
"934",71647,24858
"935",71652,17018
"936",71653,97351
"937",71654,77605
"938",71655,249974
"939",71658,7542
"940",71660,14259
"941",71661,2911
"942",71663,26462
"943",71665,112765
"944",71667,126841
"945",71670,23942
"946",71671,138985
"947",71674,10518
"948",71675,31623
"949",71676,16673
"950",71701,312828
"951",71720,38007
"952",71725,6661
"953",71726,14889
"954",71730,770318
"955",71740,29344
"956",71742,75739
"957",71743,54594
"958",71744,53553
"959",71747,13218
"960",71749,47037
"961",71751,15542
"962",71752,11668
"963",71753,276665
"964",71758,8325
"965",71762,62140
"966",71763,28089
"967",71764,29065
"968",71765,33090
"969",71766,9905
"970",71770,48896
"971",71801,203985
"972",71822,140248
"973",71825,9645
"974",71826,18065
"975",71827,11192
"976",71832,143334
"977",71833,34234
"978",71834,19510
"979",71835,21779
"980",71836,43362
"981",71837,78172
"982",71838,12251
"983",71841,11027
"984",71842,33416
"985",71845,28430
"986",71846,38200
"987",71847,9374
"988",71851,28229
"989",71852,155962
"990",71853,6614
"991",71854,683111
"992",71855,7797
"993",71857,86333
"994",71858,20008
"995",71859,4973
"996",71860,36442
"997",71861,40247
"998",71862,10511
"999",71866,10851
"1000",71901,557912
"1001",71909,506483
"1002",71913,932695
"1003",71921,41457
"1004",71923,258350
"1005",71929,80131
"1006",71933,19811
"1007",71935,7928
"1008",71937,22519
"1009",71940,21101
"1010",71941,30420
"1011",71943,66710
"1012",71944,8320
"1013",71945,16834
"1014",71949,24906
"1015",71950,12195
"1016",71953,221378
"1017",71956,24207
"1018",71957,49592
"1019",71958,38595
"1020",71959,9535
"1021",71960,15006
"1022",71961,12829
"1023",71962,11586
"1024",71964,69190
"1025",71965,5743
"1026",71968,83877
"1027",71969,3589
"1028",71970,7235
"1029",71971,5717
"1030",71972,6157
"1031",71973,17226
"1032",72001,6082
"1033",72002,354401
"1034",72003,16119
"1035",72004,16306
"1036",72006,36520
"1037",72007,177959
"1038",72010,109381
"1039",72011,86193
